Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Prashant Daebak,https://www.crunchbase.com/organization/prashant-daebak,"Artificial Intelligence (AI), Employment, Skill Assessment","Chicago, Illinois, United States",2025-01-04,day,1515663,USD,1515663,"Metaverse, Robotics, Space Science","52,378",,"48,142",3,2025-04-03,782000,USD,782000,1515663,USD,1515663,,,,1,Prashant Pandey,101-250,"Artificial Intelligence (AI), Data and Analytics, Education, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://prashantdaebak.com/,,,,"Prashant Daebak is a deep-tech research company building AI solutions for the Metaverse, Robotics, and Space Science. We innovate at the intersection of intelligent systems and futuristic technologies to shape how humanity lives, works, and explores beyond Earth."
Trace AQ,https://www.crunchbase.com/organization/trace-aq,"Artificial Intelligence (AI), Environmental Consulting, Predictive Analytics","Salt Lake City, Utah, United States",2025-01-01,year,1250000,USD,1250000,"Trace AQ AI platform manage wildfire smoke, regulatory risk, and environmental disruptions with predictive insights.","53,232",,"48,949",1,2025-05-28,1250000,USD,1250000,1250000,USD,1250000,"Thin Line Capital, Rusheen Capital Management, Curt Doman",1,3,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.traceaq.com/,https://x.com/trace_AQ,https://www.facebook.com/traceaq,https://www.linkedin.com/company/traceaq,
Morph,https://www.crunchbase.com/organization/autoinfra,"Artificial Intelligence (AI), Hospitality, Software","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Fast Apply Edits + Retrieval for AI Coding Agents,"53,573",,"49,267",1,2023-06-01,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,1,Tejas Bhakta,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Travel and Tourism",,,Active,For Profit,https://www.morphllm.com,,,https://www.linkedin.com/company/morphllm,Morph is the fastest way to get edits from AI models like Claude and Gemini into your original files.  Also with embedding and re-ranking optimized for code.
Harbera,https://www.crunchbase.com/organization/harbera,"Artificial Intelligence (AI), Health Care, Software","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Harbera is a AI software for healthcare industry to monitors and proactively helps admin teams re-credential doctors.,"54,152",,"49,809",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Sophia Clark, Veronica Nutting",1-10,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://harbera.com/,,,https://www.linkedin.com/company/harbera/,
Excellence Learning,https://www.crunchbase.com/organization/excellence-learning-62ca,"Artificial Intelligence (AI), E-Learning, EdTech, Education","Stanford, California, United States",2025-01-01,year,500000,USD,500000,Excellence Learning is an AI driven online platform that assists students in learning math and science.,"54,870",,"50,475",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",,,Active,For Profit,https://www.excellence-ai.com/,,,https://www.linkedin.com/company/excellence-ai/,
Dex,https://www.crunchbase.com/organization/dex-3c7b,"Artificial Intelligence (AI), Browser Extensions, Productivity Tools","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Dex is an artificial intelligence company that provides AI assistance, customized UI, data analysis, and workflow launching solutions.","54,985",,"50,580",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Kevin Gu, Regina Lin",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.joindex.com/,https://x.com/dexterity_ai,,https://www.linkedin.com/company/dexterityai/,
Donorlytics,https://www.crunchbase.com/organization/donorlytics,"Analytics, Artificial Intelligence (AI), Business Intelligence, Non Profit, SaaS","Irvine, California, United States",2025-04-01,month,300000,USD,300000,Donorlytics is an AI-powered intelligence platform for nonprofits.,"55,334",,"50,903",1,2025-04-14,300000,USD,300000,300000,USD,300000,,,,1,Clinton Kertcher,1-10,"Artificial Intelligence (AI), Data and Analytics, Other, Science and Engineering, Social Impact, Software",,,Active,For Profit,https://www.donorlytics.com,https://x.com/donorlyticsAI ,https://www.facebook.com/donorlytics ,https://www.linkedin.com/company/donorlytics-ai ,"Donorlytics is an AI-powered intelligence platform for nonprofits. It combines advanced analytics, automation, and predictive insights to eliminate guesswork, drive smarter decisions, streamline operations, and scale mission-driven impact with confidence."
Fab Technologies Inc,https://www.crunchbase.com/organization/fab-technologies-inc,"Artificial Intelligence (AI), Business Intelligence, SaaS, Software","Wilmington, Delaware, United States",2025-03-13,day,100000,EUR,113356,Fab Technologies is a startup developing AI-powered tools to help businesses get things done.,"55,990",,"51,529",1,2025-06-01,100000,EUR,113356,100000,EUR,113356,Antler Germany,,1,2,"Can Turanli, Volkan Olmez",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://beta.fab.page,,,https://www.linkedin.com/company/fab-page/,Fab Technologies is a startup developing AI-powered tools to help businesses get things done.
Scam AI,https://www.crunchbase.com/organization/scam-ai-e210,"Artificial Intelligence (AI), Generative AI, Photo Sharing","Berkeley, California, United States",2025-04-02,day,200000,USD,200000,Scam AI offers a real-time API that detects whether images are AI-generated or authentic.,"56,595",,"52,102",1,2025-05-05,200000,USD,200000,200000,USD,200000,Berkeley SkyDeck Fund,,1,,,1-10,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Science and Engineering, Software",,,Active,For Profit,https://www.scam.ai/,https://x.com/scamai173025,,https://www.linkedin.com/company/scam-ai,"Scam AI is a platform that provides real-time detection of AI-generated content, including deepfakes, voice clones, and synthetic images. It offers an API-based solution that integrates into applications to analyze media files for authenticity. The system employs machine learning models trained on extensive datasets to identify digital patterns and artifacts characteristic of AI-generated media. The platform supports various image formats, such as JPEG and PNG, and is optimized for photographs and realistic renderings. It delivers analysis results with an average response time of under six seconds for standard images. It also provides client libraries for multiple programming languages, facilitating integration into existing systems."
Threddle,https://www.crunchbase.com/organization/threddle,"Artificial Intelligence (AI), Fashion, Software","Alameda, California, United States",2025-03-12,day,200000,USD,200000,Threddle is an AI powered fashion Intelligence tool helping brands to sell and scale better in a personalized way,"56,880",,"52,378",1,2025-03-25,200000,USD,200000,200000,USD,200000,,,,1,Shatarupa Sarma,1-10,"Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Science and Engineering, Software",,,Active,For Profit,https://threddle.com/,,,https://linkedin.com/company/threddle,
Kira,https://www.crunchbase.com/organization/kira-12eb,"Artificial Intelligence (AI), Financial Services, FinTech","Miami, Florida, United States",2025-01-01,year,2000000,USD,2000000,"Kira is a unified API platform for organizations to execute payrolls, remittances, wallets, and cross-border payments.","58,345",,"53,762",1,2025-07-09,2000000,USD,2000000,2000000,USD,2000000,,,,3,"Camilo Jimenez, Edrizio De La Cruz, José Alberto",11-50,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,Active,For Profit,https://www.kirafin.ai/,,,https://www.linkedin.com/company/kirafinai/,
Kind Batch,https://www.crunchbase.com/organization/kind-batch,"Artificial Intelligence (AI), Machine Learning, Software","Los Angeles, California, United States",2025-04-02,day,3700000,USD,3700000,Neural Style Transfer Simplified,"58,677",,"54,074",1,2025-04-11,3700000,USD,3700000,3700000,USD,3700000,"Sound Ventures, Heartcore Capital",2,2,1,Shirley LiNa,11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://kindbatch.net/,,,https://www.linkedin.com/company/kind-batch/about/,Pioneering the future of neural style transfer technology with advanced AI solutions that empower creative professionals and businesses worldwide. Our cutting-edge algorithms transform the way visual content is created and enhanced.
Quantstruct,https://www.crunchbase.com/organization/quantstruct,"Artificial Intelligence (AI), Developer Tools, Information Technology, Internet","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Quantstruct provides enhance and publish technical documents effortlessly using AI for automatic improvements.,"59,890",,"55,225",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Newman Hu, Sarthak Srinivas",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://quantstruct.com,https://x.com/quantstruct,,https://www.linkedin.com/company/quantstruct,"Quantstruct automatically creates and improves product documentation, implementation guides, and changelogs for application programming Interface & Software development kits and products, web-based enterprise software, and internal applications."
TripleZip,https://www.crunchbase.com/organization/triplezip,"Accounting, Artificial Intelligence (AI), Commercial Real Estate","New York, New York, United States",2025-01-05,day,500000,USD,500000,"TripleZip automates complex accounting tasks for Commercial Real Estate firms, cutting admin costs and lowering legal risk.","60,217",,"55,540",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Grayson Pike, Yash Sahota",1-10,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Real Estate, Science and Engineering, Software",,,Active,For Profit,https://triplezip.ai,https://x.com/TripleZipAI,,https://www.linkedin.com/company/triplezip,"TripleZip automates complex accounting tasks for Commercial Real Estate firms, cutting admin costs and lowering legal risk. It is also a live source of truth for lease data, organizing thousands of agreements, amendments, and notices into a clear view for property accountants."
Maive,https://www.crunchbase.com/organization/maive-62f8,"Aerospace, Artificial Intelligence (AI), Compliance","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,Maive streamlines the aerospace compliance documentation required on the manufacturing shop floor.,"60,407",,"55,722",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"David Tondreau, Will Cray",1-10,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://maive.ai/,https://x.com/maive_ai,,https://www.linkedin.com/company/maive-ai/,
TamLabs,https://www.crunchbase.com/organization/tamlabs,"Artificial Intelligence (AI), Finance, Productivity Tools","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"TamLabs enhances document workflows with AI-driven editing, formatting, and real-time revision tracking.","60,673",,"55,973",1,2025-02-28,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Ben Doolan, Joshua Doolan",1-10,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,Active,For Profit,https://www.tamlabs.ai/,https://x.com/TamLabs_ai,https://www.facebook.com/people/TamLabs/61566778583011/#,https://www.linkedin.com/company/tamlabs/,
Eventship,https://www.crunchbase.com/organization/eventship-0961,"Artificial Intelligence (AI), Event Management, Events, Software, Sponsorship, Ticketing","Encinitas, California, United States",2025-04-22,day,300000,USD,300000,"Eventship helps in-person events scale with tools for sponsorship monetization, AI-powered connections, and seamless attendee engagement.","61,455",,"56,724",1,2025-07-16,300000,USD,300000,300000,USD,300000,,,,1,Hussein Yahfoufi,1-10,"Artificial Intelligence (AI), Data and Analytics, Events, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://eventship.com,https://www.x.com/eventshiphq,,https://www.linkedin.com/company/eventshipco,"Eventship is a San Diego-based company helping in-person event organizers grow faster. We combine AI-powered matchmaking, sponsor monetization tools, and engagement features that drive better connections, stronger communities, and new revenue streams for events of all sizes."
ChukAI,https://www.crunchbase.com/organization/chukai-31a5,"Artificial Intelligence (AI), Industrial Automation, Machine Learning, SaaS, Supply Chain Management, Wholesale","Brooklyn, New York, United States",2025-02-04,day,145000,USD,145000,AI-Margin Intelligence Software for Independent Distributors,"61,880",,"57,137",1,2025-06-09,145000,USD,145000,145000,USD,145000,Forum Ventures,1,1,2,"Christopher Laham, Jack Lyden",1-10,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Manufacturing, Science and Engineering, Software, Transportation",,,Active,For Profit,https://chukai.software,,https://www.facebook.com/profile.php?id=61572786211665#,https://www.linkedin.com/company/chukai,"ChukAI is an AI-native margin intelligence platform purpose-built for independent trade distributors. We help independent distributors uncover pricing gaps, missed rebates, and supply chain inefficiencies so they can match enterprise-level margins."
Omniscience LLC,https://www.crunchbase.com/organization/omniscience-llc,"Artificial Intelligence (AI), Machine Learning, Natural Language Processing","Columbus, Ohio, United States",2025-03-19,day,750000,USD,750000,The AI Platform for Small Business,"62,814",,"58,013",1,2025-02-06,750000,USD,750000,750000,USD,750000,Gorkhali Agents,1,1,1,Jeewan Singh,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://theomniscience.ai/,,https://www.facebook.com/profile.php?id=61577926156347,https://www.linkedin.com/company/omniscience-ai/,Omniscience leverages cutting-edge Artificial Intelligence to uncover hidden possibilities through its platform for small businesses to thrive.
Fostr AI,https://www.crunchbase.com/organization/fostr-ai,"Artificial Intelligence (AI), Information Technology, Internet","Fort Worth, Texas, United States",2025-01-01,year,1210000,USD,1210000,Fostr AI is the AI execution intelligence layer purpose-built for enterprises.,"63,684",,"58,844",1,2025-05-14,1210000,USD,1210000,1210000,USD,1210000,,,,2,"Chris Powers, Jason Baxter",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://fostrai.com/,,,https://www.linkedin.com/company/fostrai,
Sift Dev,https://www.crunchbase.com/organization/sift-dev,"Developer Tools, Generative AI, SaaS","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Sift Dev minimizes logging volume, empowering developers to take control back effectively.","65,402",,"60,476",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Ishir Vaidyanath, Kaushik Akula",1-10,"Artificial Intelligence (AI), Software",,,Active,For Profit,https://runsift.com/,https://x.com/sift_dev,,https://www.linkedin.com/company/sift-dev/,
Pink Pig Inc.,https://www.crunchbase.com/organization/pink-pig-inc,"Artificial Intelligence (AI), Machine Learning, Software","Los Angeles, California, United States",2025-01-24,day,970000,USD,970000,Transform Low-Resolution Images Into Stunning Masterpieces,"66,765",,"61,756",1,2025-04-06,970000,USD,970000,970000,USD,970000,Catalystrix Ventures,1,1,1,Chirag Behrani,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://pinkpiginc.com/,,,https://www.linkedin.com/company/pink-pig-inc,Pioneering the future of AI-powered image enhancement. Our mission is to make professional-grade image up-scaling accessible to everyone.
Verbiflow,https://www.crunchbase.com/organization/verbiflow,"Analytics, Artificial Intelligence (AI), SaaS","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,"Verbiflow is a platform designed for sales teams, facilitating the capture, management, and automation of sales processes.","67,342",,"62,310",1,2025-03-12,500000,USD,500000,500000,USD,500000,Y Combinator,1,1,2,"Kashyab Ambarani, Rishi Mahadevan",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://verbiflow.com/,,,https://www.linkedin.com/company/verbiflow/,
Ennisphere,https://www.crunchbase.com/organization/ennisphere,"Artificial Intelligence (AI), Machine Learning, Software","Studio City, California, United States",2025-02-07,day,3500000,USD,3500000,Advanced AI Skin Condition Detection & Analysis,"70,063",,"64,894",1,2025-03-14,3500000,USD,3500000,3500000,USD,3500000,"Inovia Capital, Techstars Ventures",2,2,1,Miguel De Muro Yarzon,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://ennisphere.net/,,,https://www.linkedin.com/company/ennisphere/,Revolutionizing skin health through advanced AI technology. Ennisphere LLC delivers clinical-grade facial analysis and personalized skincare recommendations powered by state-of-the-art machine learning algorithms.
NxtOF,https://www.crunchbase.com/organization/nxtof,"Artificial Intelligence (AI), Blockchain, Quantum Computing, SaaS, Small and Medium Businesses, Software","New York, New York, United States",2025-02-27,day,400000,USD,400000,"NxtOF is a web3 company that uses blockchain technology to manage digital identities, assets, and interactions.","70,399",,"65,214",1,2024-05-02,400000,USD,400000,400000,USD,400000,,,,,,11-50,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software",,,Active,For Profit,https://nxtof.com/,,,https://www.linkedin.com/company/nxtof/,"Nxtof is a pioneering Web3 company at the forefront of decentralized identity and digital ownership solutions. Leveraging blockchain technology, we empower individuals and enterprises to securely manage their digital identities, assets, and interactions without relying on centralized authorities. Our platform is designed to redefine trust and autonomy in the digital ecosystem. Problem & Solution Problem: Centralized control over digital identities and assets exposes users to security breaches, privacy violations, and limited ownership. Solution: Nxtof offers decentralized identity management tools, enabling users to own, control, and port their digital identities across platforms securely. Our blockchain-based solutions ensure transparency, interoperability, and user sovereignty. Founded in 2025 by a team of blockchain innovators and cybersecurity experts, Nxtof emerged from a shared vision to combat centralized data exploitation. The founders recognized the urgent need for user-centric digital infrastructure in an increasingly interconnected world, leading to the creation of a platform that prioritizes privacy and empowerment."
Practivated,https://www.crunchbase.com/organization/practivated,"Artificial Intelligence (AI), Business Development, Information Technology","Berkeley, California, United States",2025-01-01,year,1399997,USD,1399997,"Practivated is a fully remote team, and we embrace the flexibility and autonomy that comes with it.","74,779",,"69,377",1,2025-03-07,1399997,USD,1399997,1399997,USD,1399997,,,,1,Mallory (Bressler) Erickson,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://practivated.com/,,https://www.facebook.com/getpractivated,https://www.linkedin.com/company/getpractivated/,
Janix.ai,https://www.crunchbase.com/organization/janix-a09f,"Artificial Intelligence (AI), Cyber Security, Software","Austin, Texas, United States",2025-03-05,day,200000,USD,200000,We help enterprise executives empower employees with LLM tools in a fully secure and configurable way. MCP network control platform.,"77,444",,"71,924",1,2025-03-21,200000,USD,200000,200000,USD,200000,Antler,,1,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://janix.ai/,,,https://www.linkedin.com/company/janix-ai/?viewAsMember=true,"Deploy production-ready LLM tools and MCP servers in minutes, not months. Transform your enterprise with AI infrastructure that scales. MCP-compliant servers, OAuth 2.1 security, and seamless LLM deployment with zero complexity, no compromises, no delays. We help companies build and operate MCP networks. We make it easy to manage LLM integration with data sources and APIs with full observability, auth, compliance, and cost management allowing employees and agents to use AI tools at scale."
SeeVee,https://www.crunchbase.com/organization/seevee,"Artificial Intelligence (AI), Enterprise Software, Human Resources, Professional Networking, Recruiting","New York, New York, United States",2025-01-01,day,310000,USD,310000,The AI-powered hiring platform that takes the first interview for you.,"78,198",,"72,638",1,2023-10-01,310000,USD,310000,310000,USD,310000,,,,1,Maximilian Williamson,1-10,"Administrative Services, Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,http://www.seevee.com,,,https://www.linkedin.com/company/seevee,
Borazon,https://www.crunchbase.com/organization/borazon,"Artificial Intelligence (AI), Document Management","Los Angeles, California, United States",2025-01-10,day,3040000,USD,3040000,"Transform Complex PDFs Into Clear, Actionable Insights","79,758",,"74,112",2,2025-04-16,1200000,USD,1200000,3040000,USD,3040000,"Plum Ventures, LaunchCapital",2,2,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://borazon.net/,,,,"Leading the future of document intelligence with advanced AI technology. We transform complex PDFs into clear, actionable bullet-point summaries, empowering professionals to make faster, more informed decisions."
Symmetricall,https://www.crunchbase.com/organization/symmetricall,"Artificial Intelligence (AI), Information Technology, Software","Miami, Florida, United States",2025-01-01,year,225000,USD,225000,Symmetricall is a Software Development firm offering a tool that provides complete AI transcript of the call.,"80,010",,"74,354",1,2025-07-16,225000,USD,225000,225000,USD,225000,,,,,,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.symmetricall.com/,,,,
Assemblia,https://www.crunchbase.com/organization/assemblia,"Artificial Intelligence (AI), Consulting, Information Technology","Seattle, Washington, United States",2025-01-01,year,154950,USD,154950,Assemblia AI platform help businesses and civic society engage with government policymaking.,"81,320",,"75,594",1,2025-05-30,154950,USD,154950,154950,USD,154950,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://www.assemblia.ai/,,,,
ValueMate,https://www.crunchbase.com/organization/valuemate,"Artificial Intelligence (AI), SaaS","San Francisco, California, United States",2025-01-10,day,250000,USD,250000,Valuemate automates real estate appraisals with AI,"82,911",,"77,121",1,2025-04-02,250000,USD,250000,250000,USD,250000,Y Combinator,1,1,1,Anir Prativadi,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://valuemate.co/,https://twitter.com/ValueMateAI,,https://www.linkedin.com/company/valuemate-ai,"ValueMate’s LiDAR-plus-AI app captures a property in a three-minute walkthrough and delivers a regulator-ready report on our dashboard, slashing cycle times by 80% for the valuation firms already on board. In the next few months, every bank, AMC, and independent appraiser must switch to the new format or watch loans pile up. ValueMate handles the transition end-to-end, with zero tape measures, zero data entry, and zero closing delay. We’re transforming the multi-billion dollar appraisal industry with technology that captures millions of 3D data points per walkthrough."
Vala,https://www.crunchbase.com/organization/vala-5a8c,"Artificial Intelligence (AI), Legal Tech, Software","La Quinta, California, United States",2025-02-21,day,500000,USD,500000,"SaaS, Ai, LegalTech","86,911",,"80,944",1,2025-02-21,500000,USD,500000,500000,USD,500000,Forum Ventures,1,1,2,"James Campbell, Kyle Aquino",1-10,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://valalclaims.com,https://x.com/valaclaims,https://facebook.com/valaclaims,https://linkedin.com/company/valaclaims,"LegalTech, SaaS, AI"
Skyrexio,https://www.crunchbase.com/organization/skyrexio,"Artificial Intelligence (AI), Information Technology, Software, Web3","Newark, Delaware, United States",2025-01-13,day,100000,USD,100000,Pro-level crypto trading and bots accessible for everyone,"87,782",,"81,783",2,2024-06-01,20000,USD,20000,100000,USD,100000,,,,4,"Anna-Liza Starkova, Dmitry Efremov, Ivan Lobeev, Pavel Podoprigorin",1-10,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.skyrexio.com,https://twitter.com/skyrexio,https://www.facebook.com/profile.php?id=61555614342628,https://www.linkedin.com/company/skyrexio,"Skyrexio is an AI-driven trading automation platform designed for success in today’s fast-paced financial markets. Featuring a no-code webhook alert bot builder and a smart multi-order terminal powered by built-in TradeGPT AI agents, Skyrexio revolutionizes trading. As the ultimate game-changer, it offers a seamless all-in-one solution for major crypto exchange API integration and lightning-fast execution"
SuruS,https://www.crunchbase.com/organization/gradientesur,"Artificial Intelligence (AI), IT Infrastructure, Machine Learning","Newark, Delaware, United States",2025-01-24,day,100000,USD,100000,The AI Lab for LatinAmerica,"88,320",,"82,295",1,2025-02-10,100000,USD,100000,100000,USD,100000,Ariel Arrieta,,1,3,"Francis Felici, Marian Basti, Pablo De Lucca",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://surus.dev,,,,"We are an AI infrastructure company focused on LatAm, with 3 main pillars:  1. Model serving infrastructure built on top of cloud providers 2. AIaaS platform, oriented on tasks rather than models, with comprehensive usage dashboards, model testing playground and documentation.   3. Models and workflows customized to serve the needs of our region, both proprietary and open source.  We are the same team that trained Tango-70b, the first 70b model from LatAm (https://tangoia.com/), and that started the open source AI R&D community SandboxAI (https://sandbox-labs.ai/) We also contribute to LatAm's AI community by providing opensource models, datasets and benchmarks, together with open documentation on how to build these."
AI Call Center 360,https://www.crunchbase.com/organization/ai-call-center-360,"Apps, Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Mobile Apps, Natural Language Processing, Software","Conroe, Texas, United States",2025-07-01,day,100000,USD,100000,"AI Call Center, Ai Business Phone, Ai Chat, Ai Customer Support","98,747",,"92,275",1,2025-01-01,100000,USD,100000,100000,USD,100000,,,,1,Richy Orozco,1-10,"Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software",,,Active,For Profit,https://aicallcenter360.com/,,,,"AI Call Center 360 - Professional AI Phone Answering Service By Houston IT Developers LLC AI Call Center 360, developed and powered by Houston IT Developers LLC, delivers cutting-edge artificial intelligence phone answering services that transform how businesses handle customer communications. Our advanced AI call center platform provides 24/7 professional phone support that sounds genuinely human while maintaining your unique brand voice. AI-Powered Business Phone Solutions Transform your customer service with intelligent AI agents that answer every call with your exact tone, voice, and complete business knowledge. Unlike traditional call centers, our AI phone answering service never misses a call, takes breaks, or provides inconsistent service. Key Features: - Custom AI Voice Cloning - Make your AI sound exactly like you - Brand-Aligned Communication - Trained with your products, services, and FAQs - 24/7 Availability - Professional phone answering that never stops - Intelligent Call Summarization - Automated organization of customer interactions - Sales Team Extension - AI trained with your pricing and business processes Why Choose AI Call Center 360? Developed by Houston IT Developers LLC, our platform combines advanced artificial intelligence with deep business integration capabilities. Our AI call center solution doesn't just answer phones—it becomes an intelligent extension of your sales and customer service teams. Benefits: - Never Miss Another Call - 24/7 AI-powered phone coverage - Consistent Brand Experience - Every interaction reflects your business values - Cost-Effective Solution - Reduce staffing costs while improving service quality - Scalable Technology - Grows with your business needs Industries We Serve Our AI call center platform serves businesses across multiple sectors including sales, customer service, appointment scheduling, lead qualification, and customer support automation. Ready to revolutionize your business communications? Contact Houston IT Developers LLC today to discover how AI Call Center 360 can transform your customer interactions with intelligent, human-like AI phone agents."
Refine,https://www.crunchbase.com/organization/refine-9449,"E-Learning, Enterprise Software, Generative AI, Human Resources, Language Learning, Skill Assessment","Dover, Delaware, United States",2025-01-15,day,120000,USD,120000,AI Enterprise SaaS Business Communication Skills,"108,970",,"102,097",1,2025-02-20,120000,USD,120000,120000,USD,120000,,,,,,1-10,"Administrative Services, Artificial Intelligence (AI), Education, Software",,,Active,For Profit,https://www.refinenglish.com/,,,https://www.linkedin.com/company/refinenglish/,"Refine is an AI-powered corporate language training platform and HR tool designed to eliminate communication barriers in IT, FinTech, MedTech, Aviation, and Banking. Traditional corporate training is expensive, inefficient, and disconnected from real work scenarios. Refine replaces outdated methods with industry-specific, AI-driven microlearning that integrates seamlessly into the workday—anytime, anywhere. Employees train in short, high-impact sessions without disrupting productivity, while companies track progress, fluency growth, and ROI in real time through our HR analytics dashboard."
iMogul AI,https://www.crunchbase.com/organization/imogul-ai,"Generative AI, Media and Entertainment, Predictive Analytics","Rockville, Maryland, United States",2025-07-02,day,100000,USD,100000,"iMogul AI is an entertainment-tech platform using AI to analyze scripts, suggest casting, and engage audiences for feedback.","167,339",,"158,295",1,2025-07-02,100000,USD,100000,100000,USD,100000,,,,1,Chris LeSchack,1-10,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Software",,,Active,For Profit,https://www.imogul.ai,,,,"iMogul AI is a next-generation entertainment-tech platform that bridges the gap between screenwriters, producers, talent agents, and audiences through AI-powered screenplay analysis, casting intelligence, and data-driven market validation. By integrating advanced GPT models, audience engagement tools, and production optimization algorithms, iMogul AI empowers studios and agencies to identify promising scripts, streamline development, and reduce creative risk. The platform offers unique features such as script clustering for parallel production opportunities, talent casting suggestions with verified IMDb data, and a gamified audience feedback engine to crowdsource opinions on casting and concept viability. iMogul AI also supports micro-compensation for engagement, enabling a transparent, incentivized feedback loop between content creators and their supporters. With a secure, scalable infrastructure and native iOS interface, iMogul AI is positioned as the go-to decision engine for the future of intelligent content development."
